cuda
FULL Dataset: (20305, 4)
TRAIN Dataset: (16244, 4)
TEST Dataset: (4061, 4)
tensor(3.1775, device='cuda:0', grad_fn=<NllLossBackward0>)
{'loss': 3.0884, 'grad_norm': 10.920472145080566, 'learning_rate': 1.8000000000000001e-06, 'epoch': 0.0}
{'loss': 2.9427, 'grad_norm': 10.509695053100586, 'learning_rate': 3.8000000000000005e-06, 'epoch': 0.01}
{'loss': 2.7115, 'grad_norm': 9.626501083374023, 'learning_rate': 5.8e-06, 'epoch': 0.01}
{'loss': 2.1543, 'grad_norm': 9.515446662902832, 'learning_rate': 7.800000000000002e-06, 'epoch': 0.02}
{'loss': 1.5675, 'grad_norm': 6.50534200668335, 'learning_rate': 9.800000000000001e-06, 'epoch': 0.02}
{'loss': 1.0688, 'grad_norm': 2.2309863567352295, 'learning_rate': 1.18e-05, 'epoch': 0.03}
{'loss': 0.8722, 'grad_norm': 2.004889726638794, 'learning_rate': 1.38e-05, 'epoch': 0.03}
{'loss': 0.6147, 'grad_norm': 1.829764485359192, 'learning_rate': 1.58e-05, 'epoch': 0.04}
{'loss': 0.6085, 'grad_norm': 5.758081912994385, 'learning_rate': 1.7800000000000002e-05, 'epoch': 0.04}
{'loss': 0.5598, 'grad_norm': 2.426503896713257, 'learning_rate': 1.98e-05, 'epoch': 0.05}
{'eval_loss': 0.5615010857582092, 'eval_accuracy': 0.8397818748377045, 'eval_precision': 0.271495640509725, 'eval_recall': 0.2576702737110121, 'eval_f1': 0.2644023514043109, 'eval_runtime': 4.2218, 'eval_samples_per_second': 961.903, 'eval_steps_per_second': 120.327, 'epoch': 0.05}
{'loss': 0.506, 'grad_norm': 4.41804838180542, 'learning_rate': 1.998510673506537e-05, 'epoch': 0.05}
{'loss': 0.5104, 'grad_norm': 4.540332317352295, 'learning_rate': 1.9968558662915773e-05, 'epoch': 0.06}
{'loss': 0.4635, 'grad_norm': 3.165987014770508, 'learning_rate': 1.9952010590766177e-05, 'epoch': 0.06}
{'loss': 0.4481, 'grad_norm': 2.4345695972442627, 'learning_rate': 1.993546251861658e-05, 'epoch': 0.07}
{'loss': 0.5449, 'grad_norm': 2.6837761402130127, 'learning_rate': 1.991891444646699e-05, 'epoch': 0.07}
{'loss': 0.351, 'grad_norm': 2.869723081588745, 'learning_rate': 1.9902366374317393e-05, 'epoch': 0.08}
{'loss': 0.5709, 'grad_norm': 6.60021448135376, 'learning_rate': 1.9885818302167797e-05, 'epoch': 0.08}
{'loss': 0.4085, 'grad_norm': 1.709057092666626, 'learning_rate': 1.9869270230018205e-05, 'epoch': 0.09}
{'loss': 0.5101, 'grad_norm': 2.876941204071045, 'learning_rate': 1.985272215786861e-05, 'epoch': 0.09}
{'loss': 0.4342, 'grad_norm': 2.8696980476379395, 'learning_rate': 1.9836174085719016e-05, 'epoch': 0.1}
{'eval_loss': 0.4012660086154938, 'eval_accuracy': 0.8809018284020957, 'eval_precision': 0.500332933812758, 'eval_recall': 0.4782940802036919, 'eval_f1': 0.4890653475657381, 'eval_runtime': 4.1987, 'eval_samples_per_second': 967.207, 'eval_steps_per_second': 120.99, 'epoch': 0.1}
{'loss': 0.3525, 'grad_norm': 2.967949628829956, 'learning_rate': 1.981962601356942e-05, 'epoch': 0.1}
{'loss': 0.4179, 'grad_norm': 2.3794610500335693, 'learning_rate': 1.9803077941419825e-05, 'epoch': 0.11}
{'loss': 0.36, 'grad_norm': 2.6654160022735596, 'learning_rate': 1.9786529869270232e-05, 'epoch': 0.11}
{'loss': 0.4339, 'grad_norm': 3.5622751712799072, 'learning_rate': 1.9769981797120637e-05, 'epoch': 0.12}
{'loss': 0.4108, 'grad_norm': 4.295118808746338, 'learning_rate': 1.9753433724971044e-05, 'epoch': 0.12}
{'loss': 0.488, 'grad_norm': 2.037317991256714, 'learning_rate': 1.9736885652821448e-05, 'epoch': 0.13}
{'loss': 0.4341, 'grad_norm': 3.798135280609131, 'learning_rate': 1.9720337580671852e-05, 'epoch': 0.13}
{'loss': 0.4162, 'grad_norm': 3.179426908493042, 'learning_rate': 1.970378950852226e-05, 'epoch': 0.14}
{'loss': 0.3737, 'grad_norm': 3.3337364196777344, 'learning_rate': 1.9687241436372664e-05, 'epoch': 0.14}
{'loss': 0.3543, 'grad_norm': 3.5310463905334473, 'learning_rate': 1.967069336422307e-05, 'epoch': 0.15}
{'eval_loss': 0.34651586413383484, 'eval_accuracy': 0.8902194999007134, 'eval_precision': 0.5424462114125351, 'eval_recall': 0.5905792488860598, 'eval_f1': 0.5654903394892424, 'eval_runtime': 4.2026, 'eval_samples_per_second': 966.31, 'eval_steps_per_second': 120.878, 'epoch': 0.15}
{'loss': 0.3936, 'grad_norm': 1.8013968467712402, 'learning_rate': 1.9654145292073476e-05, 'epoch': 0.15}
{'loss': 0.4507, 'grad_norm': 2.434351682662964, 'learning_rate': 1.963759721992388e-05, 'epoch': 0.16}
{'loss': 0.432, 'grad_norm': 5.396333694458008, 'learning_rate': 1.9621049147774284e-05, 'epoch': 0.16}
{'loss': 0.3338, 'grad_norm': 3.4310998916625977, 'learning_rate': 1.9604501075624692e-05, 'epoch': 0.17}
{'loss': 0.3124, 'grad_norm': 3.4995696544647217, 'learning_rate': 1.9587953003475096e-05, 'epoch': 0.17}
{'loss': 0.3113, 'grad_norm': 1.7803318500518799, 'learning_rate': 1.95714049313255e-05, 'epoch': 0.18}
{'loss': 0.2954, 'grad_norm': 2.690890073776245, 'learning_rate': 1.9554856859175908e-05, 'epoch': 0.18}
{'loss': 0.3573, 'grad_norm': 2.2146027088165283, 'learning_rate': 1.9538308787026312e-05, 'epoch': 0.19}
{'loss': 0.3565, 'grad_norm': 3.859300136566162, 'learning_rate': 1.952176071487672e-05, 'epoch': 0.19}
{'loss': 0.3295, 'grad_norm': 2.8708221912384033, 'learning_rate': 1.9505212642727124e-05, 'epoch': 0.2}
{'eval_loss': 0.32699692249298096, 'eval_accuracy': 0.896405822780943, 'eval_precision': 0.565516476201043, 'eval_recall': 0.6488860598345003, 'eval_f1': 0.6043395778989803, 'eval_runtime': 4.2046, 'eval_samples_per_second': 965.856, 'eval_steps_per_second': 120.821, 'epoch': 0.2}
{'loss': 0.2801, 'grad_norm': 1.6769503355026245, 'learning_rate': 1.9488664570577528e-05, 'epoch': 0.2}
{'loss': 0.3572, 'grad_norm': 2.7546491622924805, 'learning_rate': 1.9472116498427935e-05, 'epoch': 0.21}
{'loss': 0.3634, 'grad_norm': 4.086548805236816, 'learning_rate': 1.945556842627834e-05, 'epoch': 0.21}
{'loss': 0.2596, 'grad_norm': 3.7971408367156982, 'learning_rate': 1.9439020354128747e-05, 'epoch': 0.22}
{'loss': 0.3628, 'grad_norm': 2.5177805423736572, 'learning_rate': 1.942247228197915e-05, 'epoch': 0.22}
{'loss': 0.3132, 'grad_norm': 3.912931203842163, 'learning_rate': 1.9405924209829555e-05, 'epoch': 0.23}
{'loss': 0.3082, 'grad_norm': 2.816448211669922, 'learning_rate': 1.9389376137679963e-05, 'epoch': 0.23}
{'loss': 0.3107, 'grad_norm': 3.849341630935669, 'learning_rate': 1.9372828065530367e-05, 'epoch': 0.24}
{'loss': 0.3376, 'grad_norm': 4.226771354675293, 'learning_rate': 1.9356279993380775e-05, 'epoch': 0.24}
{'loss': 0.2812, 'grad_norm': 3.131751775741577, 'learning_rate': 1.933973192123118e-05, 'epoch': 0.25}
{'eval_loss': 0.3087553381919861, 'eval_accuracy': 0.9045473291887516, 'eval_precision': 0.6490990380707221, 'eval_recall': 0.6099299809038828, 'eval_f1': 0.6289052244683644, 'eval_runtime': 4.2038, 'eval_samples_per_second': 966.024, 'eval_steps_per_second': 120.842, 'epoch': 0.25}
{'loss': 0.3021, 'grad_norm': 3.2918708324432373, 'learning_rate': 1.9323183849081583e-05, 'epoch': 0.25}
{'loss': 0.3209, 'grad_norm': 1.3608262538909912, 'learning_rate': 1.930663577693199e-05, 'epoch': 0.26}
{'loss': 0.3593, 'grad_norm': 1.7397536039352417, 'learning_rate': 1.9290087704782395e-05, 'epoch': 0.26}
{'loss': 0.3505, 'grad_norm': 3.7255992889404297, 'learning_rate': 1.9273539632632802e-05, 'epoch': 0.27}
{'loss': 0.2572, 'grad_norm': 2.9810616970062256, 'learning_rate': 1.9256991560483206e-05, 'epoch': 0.27}
{'loss': 0.3014, 'grad_norm': 4.025733947753906, 'learning_rate': 1.924044348833361e-05, 'epoch': 0.28}
{'loss': 0.3066, 'grad_norm': 2.809243679046631, 'learning_rate': 1.9223895416184015e-05, 'epoch': 0.28}
{'loss': 0.3285, 'grad_norm': 1.8228093385696411, 'learning_rate': 1.9207347344034422e-05, 'epoch': 0.29}
{'loss': 0.3378, 'grad_norm': 3.06471586227417, 'learning_rate': 1.9190799271884826e-05, 'epoch': 0.29}
{'loss': 0.2605, 'grad_norm': 2.031320333480835, 'learning_rate': 1.917425119973523e-05, 'epoch': 0.3}
{'eval_loss': 0.2965269982814789, 'eval_accuracy': 0.9053416224968305, 'eval_precision': 0.6097134870719776, 'eval_recall': 0.6664544875875239, 'eval_f1': 0.6368225777020862, 'eval_runtime': 4.2277, 'eval_samples_per_second': 960.578, 'eval_steps_per_second': 120.161, 'epoch': 0.3}
{'loss': 0.273, 'grad_norm': 5.1416015625, 'learning_rate': 1.9157703127585638e-05, 'epoch': 0.3}
{'loss': 0.3597, 'grad_norm': 3.5028574466705322, 'learning_rate': 1.9141155055436042e-05, 'epoch': 0.31}
{'loss': 0.2824, 'grad_norm': 1.2015185356140137, 'learning_rate': 1.912460698328645e-05, 'epoch': 0.31}
{'loss': 0.3554, 'grad_norm': 2.6356773376464844, 'learning_rate': 1.9108058911136854e-05, 'epoch': 0.32}
{'loss': 0.3405, 'grad_norm': 3.3867571353912354, 'learning_rate': 1.9091510838987258e-05, 'epoch': 0.32}
{'loss': 0.3094, 'grad_norm': 2.5035996437072754, 'learning_rate': 1.9074962766837666e-05, 'epoch': 0.32}
{'loss': 0.2713, 'grad_norm': 2.758840322494507, 'learning_rate': 1.905841469468807e-05, 'epoch': 0.33}
{'loss': 0.2522, 'grad_norm': 2.312100410461426, 'learning_rate': 1.9041866622538477e-05, 'epoch': 0.33}
{'loss': 0.3652, 'grad_norm': 2.545762538909912, 'learning_rate': 1.902531855038888e-05, 'epoch': 0.34}
{'loss': 0.2237, 'grad_norm': 2.2563254833221436, 'learning_rate': 1.9008770478239286e-05, 'epoch': 0.34}
{'eval_loss': 0.28852492570877075, 'eval_accuracy': 0.9073579055096461, 'eval_precision': 0.6312552755335825, 'eval_recall': 0.6664544875875239, 'eval_f1': 0.6483775080505325, 'eval_runtime': 4.2005, 'eval_samples_per_second': 966.796, 'eval_steps_per_second': 120.939, 'epoch': 0.34}
{'loss': 0.3313, 'grad_norm': 3.4990952014923096, 'learning_rate': 1.8992222406089693e-05, 'epoch': 0.35}
{'loss': 0.2988, 'grad_norm': 4.957067012786865, 'learning_rate': 1.8975674333940098e-05, 'epoch': 0.35}
{'loss': 0.2751, 'grad_norm': 1.9414682388305664, 'learning_rate': 1.8959126261790505e-05, 'epoch': 0.36}
{'loss': 0.2735, 'grad_norm': 2.0611610412597656, 'learning_rate': 1.894257818964091e-05, 'epoch': 0.36}
{'loss': 0.2319, 'grad_norm': 1.8205029964447021, 'learning_rate': 1.8926030117491313e-05, 'epoch': 0.37}
{'loss': 0.3033, 'grad_norm': 2.592599630355835, 'learning_rate': 1.8909482045341718e-05, 'epoch': 0.37}
{'loss': 0.2797, 'grad_norm': 4.677373886108398, 'learning_rate': 1.8892933973192125e-05, 'epoch': 0.38}
{'loss': 0.2922, 'grad_norm': 2.724276065826416, 'learning_rate': 1.887638590104253e-05, 'epoch': 0.38}
{'loss': 0.3794, 'grad_norm': 4.274601459503174, 'learning_rate': 1.8859837828892933e-05, 'epoch': 0.39}
{'loss': 0.1965, 'grad_norm': 2.1369001865386963, 'learning_rate': 1.884328975674334e-05, 'epoch': 0.39}
{'eval_loss': 0.27817627787590027, 'eval_accuracy': 0.9118334428032444, 'eval_precision': 0.660334633287206, 'eval_recall': 0.6682367918523233, 'eval_f1': 0.664262212098203, 'eval_runtime': 4.1881, 'eval_samples_per_second': 969.663, 'eval_steps_per_second': 121.297, 'epoch': 0.39}
{'loss': 0.3641, 'grad_norm': 2.7120325565338135, 'learning_rate': 1.8826741684593745e-05, 'epoch': 0.4}
{'loss': 0.2631, 'grad_norm': 2.2520010471343994, 'learning_rate': 1.8810193612444153e-05, 'epoch': 0.4}
{'loss': 0.3025, 'grad_norm': 2.668989896774292, 'learning_rate': 1.8793645540294557e-05, 'epoch': 0.41}
{'loss': 0.2548, 'grad_norm': 2.7263262271881104, 'learning_rate': 1.877709746814496e-05, 'epoch': 0.41}
{'loss': 0.2726, 'grad_norm': 2.3307173252105713, 'learning_rate': 1.876054939599537e-05, 'epoch': 0.42}
{'loss': 0.2711, 'grad_norm': 1.940483570098877, 'learning_rate': 1.8744001323845773e-05, 'epoch': 0.42}
{'loss': 0.2806, 'grad_norm': 2.765821933746338, 'learning_rate': 1.872745325169618e-05, 'epoch': 0.43}
{'loss': 0.2773, 'grad_norm': 2.368281841278076, 'learning_rate': 1.8710905179546585e-05, 'epoch': 0.43}
{'loss': 0.1937, 'grad_norm': 2.6959640979766846, 'learning_rate': 1.869435710739699e-05, 'epoch': 0.44}
{'loss': 0.3664, 'grad_norm': 2.522963047027588, 'learning_rate': 1.8677809035247396e-05, 'epoch': 0.44}
