cuda
FULL Dataset: (20305, 4)
TRAIN Dataset: (16244, 4)
TEST Dataset: (4061, 4)
tensor(3.0266, device='cuda:0', grad_fn=<NllLossBackward0>)
{'loss': 3.1994, 'grad_norm': 11.754647254943848, 'learning_rate': 1.8000000000000001e-06, 'epoch': 0.0}
{'loss': 3.0502, 'grad_norm': 11.406705856323242, 'learning_rate': 3.8000000000000005e-06, 'epoch': 0.01}
{'loss': 2.7574, 'grad_norm': 10.75109577178955, 'learning_rate': 5.8e-06, 'epoch': 0.01}
{'loss': 2.1635, 'grad_norm': 10.718682289123535, 'learning_rate': 7.800000000000002e-06, 'epoch': 0.02}
{'loss': 1.518, 'grad_norm': 6.392602443695068, 'learning_rate': 9.800000000000001e-06, 'epoch': 0.02}
{'loss': 1.0739, 'grad_norm': 2.0321462154388428, 'learning_rate': 1.18e-05, 'epoch': 0.03}
{'loss': 0.8976, 'grad_norm': 1.9110101461410522, 'learning_rate': 1.38e-05, 'epoch': 0.03}
{'loss': 0.6289, 'grad_norm': 1.7994582653045654, 'learning_rate': 1.58e-05, 'epoch': 0.04}
{'loss': 0.6169, 'grad_norm': 3.231074571609497, 'learning_rate': 1.7800000000000002e-05, 'epoch': 0.04}
{'loss': 0.5394, 'grad_norm': 2.0545918941497803, 'learning_rate': 1.98e-05, 'epoch': 0.05}
{'eval_loss': 0.5668343901634216, 'eval_accuracy': 0.8342981960376984, 'eval_precision': 0.24186969463124242, 'eval_recall': 0.27931253978357734, 'eval_f1': 0.25924613021387216, 'eval_runtime': 4.2102, 'eval_samples_per_second': 964.561, 'eval_steps_per_second': 120.659, 'epoch': 0.05}
{'loss': 0.5064, 'grad_norm': 3.503929615020752, 'learning_rate': 1.9969964959118976e-05, 'epoch': 0.05}
{'loss': 0.4947, 'grad_norm': 3.742786169052124, 'learning_rate': 1.9936592691473388e-05, 'epoch': 0.06}
{'loss': 0.4796, 'grad_norm': 3.348637342453003, 'learning_rate': 1.99032204238278e-05, 'epoch': 0.06}
{'loss': 0.442, 'grad_norm': 1.784554123878479, 'learning_rate': 1.9869848156182215e-05, 'epoch': 0.07}
{'loss': 0.532, 'grad_norm': 2.0184998512268066, 'learning_rate': 1.9836475888536627e-05, 'epoch': 0.07}
{'loss': 0.3433, 'grad_norm': 2.4788012504577637, 'learning_rate': 1.9803103620891042e-05, 'epoch': 0.08}
{'loss': 0.5565, 'grad_norm': 4.726109504699707, 'learning_rate': 1.9769731353245454e-05, 'epoch': 0.08}
{'loss': 0.3841, 'grad_norm': 1.4681957960128784, 'learning_rate': 1.9736359085599866e-05, 'epoch': 0.09}
{'loss': 0.4911, 'grad_norm': 2.3306069374084473, 'learning_rate': 1.9702986817954282e-05, 'epoch': 0.09}
{'loss': 0.4047, 'grad_norm': 2.5271973609924316, 'learning_rate': 1.9669614550308697e-05, 'epoch': 0.1}
{'eval_loss': 0.38845551013946533, 'eval_accuracy': 0.8825362396321811, 'eval_precision': 0.5270010964912281, 'eval_recall': 0.4894971355824316, 'eval_f1': 0.5075572569467361, 'eval_runtime': 4.1887, 'eval_samples_per_second': 969.515, 'eval_steps_per_second': 121.279, 'epoch': 0.1}
{'loss': 0.3357, 'grad_norm': 2.5628020763397217, 'learning_rate': 1.963624228266311e-05, 'epoch': 0.1}
{'loss': 0.4201, 'grad_norm': 3.336711883544922, 'learning_rate': 1.960287001501752e-05, 'epoch': 0.11}
{'loss': 0.3539, 'grad_norm': 2.7498981952667236, 'learning_rate': 1.9569497747371936e-05, 'epoch': 0.11}
{'loss': 0.4194, 'grad_norm': 3.176753520965576, 'learning_rate': 1.953612547972635e-05, 'epoch': 0.12}
{'loss': 0.4008, 'grad_norm': 3.987881660461426, 'learning_rate': 1.9502753212080764e-05, 'epoch': 0.12}
{'loss': 0.4651, 'grad_norm': 1.8741003274917603, 'learning_rate': 1.9469380944435176e-05, 'epoch': 0.13}
{'loss': 0.4277, 'grad_norm': 4.033622741699219, 'learning_rate': 1.9436008676789588e-05, 'epoch': 0.13}
{'loss': 0.4195, 'grad_norm': 2.8406407833099365, 'learning_rate': 1.9402636409144003e-05, 'epoch': 0.14}
{'loss': 0.3598, 'grad_norm': 3.365730047225952, 'learning_rate': 1.9369264141498415e-05, 'epoch': 0.14}
{'loss': 0.3521, 'grad_norm': 3.547806739807129, 'learning_rate': 1.933589187385283e-05, 'epoch': 0.15}
{'eval_loss': 0.34452906250953674, 'eval_accuracy': 0.8910901675653382, 'eval_precision': 0.5665936206476747, 'eval_recall': 0.592488860598345, 'eval_f1': 0.5792519758541291, 'eval_runtime': 4.1988, 'eval_samples_per_second': 967.17, 'eval_steps_per_second': 120.986, 'epoch': 0.15}
{'loss': 0.3945, 'grad_norm': 1.6969534158706665, 'learning_rate': 1.9302519606207242e-05, 'epoch': 0.15}
{'loss': 0.4425, 'grad_norm': 2.571932792663574, 'learning_rate': 1.9269147338561658e-05, 'epoch': 0.16}
{'loss': 0.4273, 'grad_norm': 6.142379283905029, 'learning_rate': 1.923577507091607e-05, 'epoch': 0.16}
{'loss': 0.3211, 'grad_norm': 2.4640867710113525, 'learning_rate': 1.9202402803270485e-05, 'epoch': 0.17}
{'loss': 0.3144, 'grad_norm': 3.472615957260132, 'learning_rate': 1.9169030535624897e-05, 'epoch': 0.17}
{'loss': 0.3126, 'grad_norm': 2.260439395904541, 'learning_rate': 1.9135658267979312e-05, 'epoch': 0.18}
{'loss': 0.2905, 'grad_norm': 2.1924126148223877, 'learning_rate': 1.9102286000333724e-05, 'epoch': 0.18}
{'loss': 0.3503, 'grad_norm': 2.667412519454956, 'learning_rate': 1.9068913732688136e-05, 'epoch': 0.19}
{'loss': 0.3475, 'grad_norm': 4.120675563812256, 'learning_rate': 1.903554146504255e-05, 'epoch': 0.19}
{'loss': 0.3284, 'grad_norm': 2.869096517562866, 'learning_rate': 1.9002169197396964e-05, 'epoch': 0.2}
{'eval_loss': 0.33010637760162354, 'eval_accuracy': 0.895519880245009, 'eval_precision': 0.5714759902633326, 'eval_recall': 0.6575429662635264, 'eval_f1': 0.6114958858698869, 'eval_runtime': 4.2032, 'eval_samples_per_second': 966.17, 'eval_steps_per_second': 120.86, 'epoch': 0.2}
{'loss': 0.2785, 'grad_norm': 1.6160645484924316, 'learning_rate': 1.896879692975138e-05, 'epoch': 0.2}
{'loss': 0.3623, 'grad_norm': 2.833688497543335, 'learning_rate': 1.893542466210579e-05, 'epoch': 0.21}
{'loss': 0.3621, 'grad_norm': 3.4613888263702393, 'learning_rate': 1.8902052394460203e-05, 'epoch': 0.21}
{'loss': 0.258, 'grad_norm': 4.033959865570068, 'learning_rate': 1.8868680126814618e-05, 'epoch': 0.22}
{'loss': 0.368, 'grad_norm': 2.560082197189331, 'learning_rate': 1.8835307859169034e-05, 'epoch': 0.22}
{'loss': 0.3233, 'grad_norm': 3.983070135116577, 'learning_rate': 1.8801935591523446e-05, 'epoch': 0.23}
{'loss': 0.2992, 'grad_norm': 2.4913249015808105, 'learning_rate': 1.876856332387786e-05, 'epoch': 0.23}
{'loss': 0.3155, 'grad_norm': 3.5560617446899414, 'learning_rate': 1.8735191056232273e-05, 'epoch': 0.24}
{'loss': 0.3404, 'grad_norm': 3.4745991230010986, 'learning_rate': 1.8701818788586685e-05, 'epoch': 0.24}
{'loss': 0.2709, 'grad_norm': 3.0832786560058594, 'learning_rate': 1.86684465209411e-05, 'epoch': 0.25}
