concept_id,cui,name,semantic_types,atom_url,relations_url
91936005,C0030824,Allergy to penicillin,Disease or Syndrome,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0030824/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0030824/relations
95563007,C0521614,Gallstone pancreatitis,Disease or Syndrome,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0521614/atoms,
45595009,C0162522,"Cholecystectomy, Laparoscopic",Therapeutic or Preventive Procedure,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0162522/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0162522/relations
1835003,C0267953,Necrosis of pancreas,Disease or Syndrome,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0267953/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0267953/relations
310244003,C0587766,Nasojejunal feeding,Therapeutic or Preventive Procedure,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0587766/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0587766/relations
19387007,C0221219,Ectopic pancreas,Congenital Abnormality,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0221219/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0221219/relations
57653000,C0026766,Multiple Organ Failure,Disease or Syndrome,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0026766/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0026766/relations
268910001,C0438108,Patient's condition improved,Finding,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0438108/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0438108/relations
13467000,C0333161,Pseudocyst,Acquired Abnormality,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0333161/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0333161/relations
56783008,C0152277,Incision and drainage,Therapeutic or Preventive Procedure,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0152277/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0152277/relations
122865005,C0017189,Gastrointestinal tract structure,Body System,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0017189/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0017189/relations
737492002,C4545175,Outpatient care management,Health Care Activity,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C4545175/atoms,
38102005,C0008320,Cholecystectomy procedure,Therapeutic or Preventive Procedure,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0008320/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0008320/relations
223482009,C0557061,Discussion (procedure),Therapeutic or Preventive Procedure,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0557061/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0557061/relations
84089009,C3489393,Hiatal Hernia,Acquired Abnormality,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C3489393/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C3489393/relations
32849002,C0014876,Esophagus,"Body Part, Organ, or Organ Component",https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0014876/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0014876/relations
