concept_id,name,group_abbr
91936005,Allergy to penicillin,DISO
95563007,Gallstone pancreatitis,DISO
45595009,"Cholecystectomy, Laparoscopic",PROC
1835003,Necrosis of pancreas,DISO
310244003,Nasojejunal feeding,PROC
19387007,Ectopic pancreas,DISO
57653000,Multiple Organ Failure,DISO
268910001,Patient's condition improved,DISO
13467000,Pseudocyst,DISO
56783008,Incision and drainage,PROC
122865005,Gastrointestinal tract structure,ANAT
737492002,Outpatient care management,PROC
38102005,Cholecystectomy procedure,PROC
223482009,Discussion (procedure),PROC
84089009,Hiatal Hernia,DISO
32849002,Esophagus,ANAT
30811009,Ulcer of esophagus,DISO
48694002,Anxiety,DISO
161891005,Back Pain,DISO
94391008,Secondary malignant neoplasm of lung,DISO
438949009,Alive (finding),DISO
230690007,Cerebrovascular accident,DISO
363418001,Malignant neoplasm of pancreas,DISO
118227000,Vital signs finding,DISO
722742002,Breathing room air,DISO
162673000,General examination of patient,PROC
281900007,No abnormality detected,DISO
363003006,Cardiovascular physical examination,PROC
76863003,Normal heart rate,DISO
268925001,Examination of respiratory system,PROC
48348007,Normal breath sounds,DISO
225162003,Examination of abdomen,PROC
609343002,Surgical incision wound (morphologic abnormality),DISO
302773001,Examination of limb,PROC
102599008,Warm skin,DISO
3415004,Cyanosis,DISO
424372002,Peripheral edema,DISO
386390005,Postanesthesia care,PROC
36823005,Normal diet,ACTI
103744005,Administration of intravenous fluids,PROC
241716000,Patient-Controlled Analgesia,PROC
225782006,Pain control,PROC
301459008,Hemodynamically stable,DISO
1156446004,Demonstrates adequate pain control,DISO
310500000,"Diet, Healthy",DISO
102834005,Normal micturition,DISO
103746007,Heparin therapy,PROC
386661006,Fever,DISO
72970002,Normal vital signs,DISO
160680006,Fully mobile,DISO
129023004,Continence independent,DISO
311401005,Patient education (procedure),PROC
420227002,Advice,PROC
371754007,Discharge Planning,PROC
392257007,Mental status determination,PROC
444714004,Assessment of consciousness level,PROC
248234008,Mentally alert,DISO
288577006,Does communicate,DISO
165245003,Independent walking,DISO
19585003,Postoperative state,DISO
394835006,Patient medication education,PROC
967006,Medication education,PROC
359665005,Ambulation training,PROC
313210009,Fluid intake education,PROC
304673006,Functional activity education,PROC
183616001,Follow-up arranged,DISO
737470001,Primary care management,PROC
1144586002,Increased pain,DISO
442672001,Swelling,DISO
822962003,Redness of skin over lesion,DISO
75823008,Body Fluid Discharge,ANAT
419511003,Propensity to adverse reactions to drug,PHYS
29857009,Chest Pain,DISO
401314000,Acute non-ST segment elevation myocardial infarction (disorder),DISO
41976001,Cardiac Catheterization Procedures,PROC
13645005,Chronic Obstructive Airway Disease,DISO
444931001,High troponin I level,DISO
413322009,Problem resolved,DISO
781087000,Medical care,PROC
58184002,Recurrent disease,DISO
285385002,Left sided chest pain,DISO
425677008,Pain radiating to left arm,DISO
23924001,Chest tightness,DISO
386705008,Lightheadedness,DISO
43724002,Chills,DISO
52613005,Increased sweating,DISO
422587007,Nausea,DISO
422400008,Vomiting,DISO
128974000,Baseline state,DISO
267036007,Dyspnea,DISO
271299001,Patient's condition worsened,DISO
56265001,Heart Diseases,DISO
164921003,EKG: R wave abnormal,PHEN
76388001,ST segment elevation (finding),DISO
26141007,ST segment depression (finding),DISO
408488002,Administration of prophylactic nitroglycerin,PROC
56018004,Asthmatic breathing,DISO
5880005,Physical Examination,PROC
105000003,Troponin measurement,PROC
431463004,Administration of aspirin,PROC
23875004,No pathologic diagnosis,CONC
275942009,New medication added,DISO
15220000,Laboratory Procedures,PROC
399208008,Plain chest X-ray,PROC
106062002,Diaphragmatic finding,DISO
304530009,Comfortable appearance,DISO
441829007,Assessment for risk of cardiovascular disease,PROC
38341003,Hypertensive disease,DISO
419099009,Dead (finding),DISO
386053000,Evaluation procedure,PROC
392570002,Blood pressure finding,DISO
301113001,Finding of heart rate,DISO
301283003,Finding of rate of respiration,DISO
426224004,"Oriented to person, time and place",DISO
134417007,Normal mood,DISO
106131003,Mood finding,DISO
427801009,White sclera,DISO
386666001,Pupils equal and reacting to light,DISO
103251002,Normal ocular motility,PHYS
301926003,Conjunctiva normal,DISO
1209208002,Pale face,DISO
113277000,Oral mucous membrane structure,ANAT
271653008,Jugular venous engorgement,DISO
301803006,Finding of apex beat,DISO
47495005,Structure of intercostal space,ANAT
279013009,Midclavicular line,ANAT
26198000,"Normal first heart sound, S>1<",DISO
111974005,"Normal second heart sound, S>2<",DISO
301132007,Heart sounds normal,DISO
1735007,5 ML fentanyl 0.05 MG/ML Injection,CHEM
421433001,Precordial heave,DISO
50522009,Third heart sound inaudible,DISO
448488004,Deformity of chest wall,DISO
298382003,"Scoliosis, unspecified",DISO
414564002,Kyphosis deformity of spine,DISO
50847000,Accessory skeletal muscle,DISO
9763007,Expiratory wheezing,DISO
249543005,Abdomen soft,DISO
60728008,Abdomen distended,DISO
36760000,Hepatosplenomegaly,DISO
247348008,Sore to touch,DISO
271303006,Examination of skin,PROC
35498005,Stasis dermatitis,DISO
429040005,Ulcer,DISO
12402003,Cicatrix,DISO
63103006,Xanthomatosis,DISO
54908008,Normal carotid arterial pulse,DISO
301160009,Dorsalis pulse present,DISO
80608005,Appropriate affect,DISO
276362002,Breathing easily,DISO
271620003,Accessory respiratory muscles used,DISO
43478001,Abdominal tenderness,DISO
301155005,Radial pulse present,DISO
830130002,Wound healing well,DISO
767002,White Blood Cell Count procedure,PROC
14089001,Red blood cell count (procedure),PROC
441689006,Measurement of total hemoglobin concentration,PROC
28317006,Hematocrit Measurement,PROC
104133003,Erythrocyte mean corpuscular volume determination,PROC
54706004,Mean corpuscular hemoglobin determination,PROC
37254006,Mean corpuscular hemoglobin concentration determination,PROC
66842004,Red cell distribution width determination,PROC
42525009,"Partial thromboplastin time, activated (procedure)",PROC
397798009,Creatine kinase measurement,PROC
104613001,Creatine kinase MB measurement,PROC
105001004,Troponin T cardiac measurement,PROC
312472004,Blood calcium measurement,PROC
104868000,"Phosphate, total measurement",PROC
271285000,Blood magnesium measurement,PROC
33747003,Blood glucose measurement,PROC
105011006,Blood urea nitrogen measurement,PROC
70901006,Creatinine measurement,PROC
312469006,Blood sodium measurement,PROC
312468003,Blood potassium measurement,PROC
312471006,Blood bicarbonate measurement,PROC
25469001,Anion gap measurement,PROC
394421000119103,"Plain X-ray of chest, anteroposterior view",PROC
194842008,Single coronary vessel disease,DISO
50173008,Complete obstruction,DISO
450960006,Structure of mid portion of right coronary artery,ANAT
91748002,Structure of mid portion of anterior descending branch of left coronary artery,ANAT
1522000,Plaque (lesion),DISO
18352002,Abnormal systolic arterial pressure,DISO
418285008,Angioplasty,PROC
68787002,Structure of proximal portion of anterior descending branch of left coronary artery,ANAT
13647002,Right coronary artery structure,ANAT
40701008,Echocardiography,PROC
82471001,Left atrial structure,ANAT
53461003,Normal size,CONC
840303004,Mild left ventricular hypertrophy,DISO
1259956008,Structure of cavity of left cardiac ventricle,ANAT
162468002,Symptom mild,DISO
134401001,Left ventricular systolic dysfunction,DISO
60991002,Structure of base of heart,ANAT
33994004,Akinesia,DISO
37706002,Hypokinesis of cardiac wall,DISO
439858009,Doppler ultrasonography of heart tissue,PROC
87878005,Left ventricular structure,ANAT
91274007,Normal cardiac flow,PHYS
53085002,Right ventricular structure,ANAT
373122000,Normal ventricular wall motion,DISO
81797008,Structure of cusp of aortic valve,ANAT
89977008,Thickened,DISO
60573004,Aortic Valve Stenosis,DISO
60234000,Aortic Valve Insufficiency,DISO
448820003,Thickened mitral leaflet,DISO
838451005,Mild mitral valve regurgitation,DISO
11399002,Pulmonary arterial hypertension,DISO
373945007,Pericardial effusion,DISO
233258006,Angioplasty of artery,PROC
41879009,Structure of distal portion of right coronary artery,ANAT
52988006,Lesion,DISO
164854000,ECG normal,DISO
359746009,Patient's condition stable,DISO
830123008,Normal state of mind,DISO
233970002,Coronary Stenosis,DISO
41801008,Coronary artery,ANAT
80891009,Heart,ANAT
37727007,Increased vascular flow,DISO
67629009,Catheterization of left heart,PROC
36969009,Placement of stent in coronary artery,PROC
40930008,Hypothyroidism,DISO
197927001,Recurrent urinary tract infection,DISO
162470006,Symptom severe,DISO
9267009,Chest pain at rest,DISO
371030007,Squeezing chest pain,DISO
76752008,Breast,ANAT
22298006,Myocardial Infarction,DISO
22253000,Pain,DISO
715036001,Does not take medication,DISO
80313002,Palpitations,DISO
230145002,Dyspnea,DISO
282146009,Does walk,DISO
449614009,Swelling of lower limb,DISO
49650001,Dysuria,DISO
385868005,Emergency treatment management,PROC
29303009,Electrocardiography,PROC
64730000,Normal sinus rhythm,DISO
39732003,Left axis deviation,DISO
4554005,Intraventricular conduction defect,DISO
59931005,Inverted T wave,DISO
257476008,Lead site V2,ANAT
257479001,Lead site V5,ANAT
104589004,"Chloride measurement, blood",PROC
68994006,Measurement of total hemoglobin concentration and hematocrit,PROC
27171005,Urinalysis,PROC
61373006,Bacteriuria,DISO
117010004,Urine culture,PROC
310636007,Continuous infusion of heparin,PROC
247347003,Discomfort,DISO
415300000,Review of systems (procedure),PROC
266257000,Transient Ischemic Attack,DISO
128053003,Deep Vein Thrombosis,DISO
59282003,Pulmonary Embolism,DISO
131148009,Hemorrhage,DISO
387713003,Operative Surgical Procedures,PROC
68962001,Myalgia,DISO
57676002,Arthralgia,DISO
49727002,Coughing,DISO
66857006,Hemoptysis,DISO
35064005,Feces color: tarry,DISO
64412006,Red stools,DISO
38880002,Rigor - Temperature-associated observation,DISO
427341007,Pain provoked by exertion,DISO
279043006,Pain in buttock,DISO
300954003,Pain in calf,DISO
55442000,Paroxysmal nocturnal dyspnea,DISO
62744007,Orthopnea,DISO
26237000,Ankle edema (finding),DISO
271594007,Syncope,DISO
427461000,Presyncope,DISO
73211009,Diabetes Mellitus,DISO
370992007,Dyslipidemias,DISO
415070008,Percutaneous Coronary Intervention,PROC
59438005,Anterior descending branch of left coronary artery,ANAT
32398004,Bronchitis,DISO
13644009,Hypercholesterolemia,DISO
20696009,Venous Insufficiency,DISO
35489007,Depressive disorder,DISO
271737000,Absolute anemia,DISO
15188001,hearing impairment,DISO
193462001,Sleeplessness,DISO
76784001,Vagina,ANAT
29696001,Ptosis,DISO
116144002,Total abdominal hysterectomy with bilateral salpingo-oophorectomy,PROC
49808004,Old age,CONC
363406005,Malignant tumor of colon,DISO
397749000,Well cared for appearance,DISO
276398005,Moist oral mucosa,DISO
246975001,Scleral icterus,DISO
31389004,Oropharyngeal,ANAT
301153003,Carotid pulse present,DISO
414786004,Heart murmur,DISO
61539000,Normal bowel sounds,DISO
268945009,Examination of genitourinary system,PROC
267038008,Edema,DISO
344001,esophageal dilation with fluoroscopic guidance,PROC
84728005,Neurologic Examination,PROC
248218005,Awake (finding),DISO
247663003,Orientated,DISO
25238003,Cranial Nerves,ANAT
2592007,All extremities,ANAT
271807003,Eruption of skin (disorder),DISO
366199006,Pulse finding,DISO
40969002,Peripheral pulses normal,DISO
447755005,Finding of oxygen saturation,DISO
366163001,Jugular venous pressure - finding,DISO
77197001,Ejection Murmurs,DISO
102830001,Renal angle tenderness,DISO
284137004,Does move all four limbs,DISO
61928009,Platelet count (procedure),PROC
30630007,Neutrophil count (procedure),PROC
67776007,Monocyte count (procedure),PROC
71960002,Eosinophil count (procedure),PROC
42351005,Blood basophil count (lab test),PROC
442564008,Evaluation of urine specimen,PROC
107650008,Color finding,DISO
167236000,Urine looks clear,DISO
401075003,Urine microscopy: yeasts,PROC
42869005,"diagnostic chest x-ray, PA and lateral views",PROC
51185008,Chest,ANAT
39607008,Lung,ANAT
128305008,Abnormally opaque structure (morphologic abnormality),DISO
60046008,Pleural effusion (disorder),DISO
109364007,Left pneumothorax,DISO
72410000,Mediastinum,ANAT
368503001,Structure of right radial artery,ANAT
